EmployeeID,Gender,JobRole,JobLevel,EducationField,Department,MaritalStatus,Attrition
61,Male,Laboratory Technician,2,Marketing,Research & Development,Single,1
62,Male,Human Resources,1,Marketing,Sales,Married,0
63,Male,Laboratory Technician,2,Medical,Research & Development,Married,0
64,Female,Human Resources,1,Technical Degree,Research & Development,Divorced,1
65,Female,Manufacturing Director,1,Marketing,Sales,Single,0
66,Female,Sales Executive,1,Technical Degree,Research & Development,Married,0
67,Female,Sales Executive,3,Marketing,Research & Development,Single,0
68,Female,Laboratory Technician,1,Life Sciences,Sales,Married,0
69,Male,Sales Executive,1,Medical,Sales,Single,0
70,Female,Sales Representative,2,Other,Sales,Single,0
71,Female,Human Resources,1,Life Sciences,Sales,Divorced,0
72,Female,Laboratory Technician,3,Human Resources,Sales,Married,0
73,Male,Sales Executive,1,Human Resources,Sales,Married,0
74,Male,Research Scientist,1,Medical,Sales,Married,0
75,Female,Laboratory Technician,1,Human Resources,Sales,Married,0
76,Male,Research Scientist,1,Life Sciences,Sales,Single,0
77,Female,Laboratory Technician,1,Medical,Research & Development,Married,0
78,Female,Laboratory Technician,1,Life Sciences,Research & Development,Married,1
79,Female,Sales Executive,1,Medical,Sales,Single,0
80,Female,Research Scientist,1,Other,Human Resources,Single,0
81,Male,Sales Executive,2,Life Sciences,Research & Development,Married,1
82,Male,Sales Executive,3,Life Sciences,Sales,Single,0
83,Male,Research Scientist,1,Other,Research & Development,Married,0
84,Male,Manufacturing Director,1,Medical,Sales,Married,0
85,Female,Research Scientist,2,Life Sciences,Sales,Single,1
86,Female,Sales Representative,3,Medical,Sales,Single,0
87,Male,Research Scientist,1,Life Sciences,Human Resources,Married,0
88,Male,Sales Representative,5,Life Sciences,Sales,Single,0
89,Female,Sales Representative,2,Life Sciences,Sales,Single,1
90,Male,Sales Representative,1,Technical Degree,Sales,Divorced,0
91,Male,Sales Executive,1,Life Sciences,Research & Development,Divorced,0
92,Male,Sales Executive,3,Life Sciences,Research & Development,Single,0
93,Male,Sales Representative,1,Medical,Research & Development,Single,0
94,Male,Human Resources,1,Marketing,Research & Development,Single,0
95,Male,Sales Representative,1,Medical,Sales,Single,0
96,Male,Sales Executive,1,Medical,Research & Development,Married,0
97,Male,Research Scientist,1,Other,Research & Development,Married,0
98,Male,Sales Executive,1,Technical Degree,Sales,Married,0
99,Male,Healthcare Representative,1,Human Resources,Research & Development,Single,0
100,Male,Sales Executive,1,Marketing,Human Resources,Married,0
101,Female,Research Scientist,1,Technical Degree,Sales,Married,0
102,Male,Laboratory Technician,1,Marketing,Research & Development,Married,0
103,Male,Sales Representative,5,Human Resources,Research & Development,Married,0
104,Female,Laboratory Technician,5,Other,Research & Development,Married,0
105,Male,Sales Representative,1,Other,Sales,Single,0
106,Male,Research Scientist,1,Other,Human Resources,Divorced,0
107,Female,Research Scientist,1,Other,Research & Development,Single,0
108,Female,Research Scientist,1,Medical,Sales,Divorced,1
109,Female,Manufacturing Director,2,Life Sciences,Research & Development,Single,0
110,Female,Healthcare Representative,1,Human Resources,Research & Development,Single,0
111,Male,Sales Representative,1,Life Sciences,Sales,Single,0
112,Female,Research Scientist,5,Medical,Human Resources,Married,0
113,Male,Laboratory Technician,5,Life Sciences,Research & Development,Married,0
114,Female,Research Scientist,1,Medical,Research & Development,Married,0
115,Male,Manufacturing Director,4,Medical,Sales,Single,1
116,Male,Human Resources,5,Life Sciences,Sales,Married,0
117,Female,Manufacturing Director,1,Marketing,Sales,Single,0
118,Female,Sales Executive,4,Medical,Sales,Married,1
119,Female,Human Resources,1,Marketing,Research & Development,Single,1
120,Female,Sales Executive,1,Medical,Research & Development,Single,0
121,Male,Laboratory Technician,1,Marketing,Sales,Married,0
122,Female,Laboratory Technician,2,Marketing,Research & Development,Single,0
123,Female,Research Scientist,2,Medical,Sales,Divorced,1
124,Male,Laboratory Technician,2,Technical Degree,Research & Development,Single,1
125,Male,Sales Representative,1,Other,Research & Development,Married,1
126,Male,Manufacturing Director,1,Other,Research & Development,Single,0
127,Male,Human Resources,1,Technical Degree,Sales,Married,0
128,Male,Human Resources,2,Life Sciences,Research & Development,Single,1
129,Male,Laboratory Technician,1,Medical,Research & Development,Single,0
130,Female,Laboratory Technician,1,Life Sciences,Sales,Single,0
131,Male,Sales Representative,1,Technical Degree,Research & Development,Divorced,0
132,Male,Research Scientist,1,Medical,Sales,Single,0
133,Male,Sales Executive,2,Human Resources,Research & Development,Married,1
134,Male,Sales Representative,4,Life Sciences,Sales,Single,1
135,Male,Manufacturing Director,1,Technical Degree,Research & Development,Divorced,0
136,Male,Sales Executive,1,Human Resources,Sales,Married,0
137,Female,Healthcare Representative,1,Technical Degree,Sales,Married,0
138,Male,Research Scientist,3,Marketing,Research & Development,Single,0
139,Female,Research Scientist,1,Life Sciences,Sales,Married,0
140,Male,Sales Representative,5,Life Sciences,Sales,Single,0
141,Female,Sales Executive,2,Life Sciences,Research & Development,Married,0
142,Male,Human Resources,1,Life Sciences,Sales,Single,0
143,Male,Sales Executive,2,Other,Human Resources,Married,0
144,Male,Healthcare Representative,1,Human Resources,Sales,Divorced,0
145,Female,Research Scientist,2,Other,Research & Development,Single,0
146,Male,Sales Executive,1,Human Resources,Research & Development,Divorced,0
147,Male,Sales Representative,3,Life Sciences,Research & Development,Single,1
148,Male,Manufacturing Director,2,Human Resources,Sales,Single,0
149,Male,Healthcare Representative,1,Other,Sales,Single,0
150,Female,Healthcare Representative,1,Medical,Research & Development,Married,0
151,Male,Laboratory Technician,1,Human Resources,Research & Development,Married,1
152,Female,Manufacturing Director,2,Technical Degree,Human Resources,Single,0
153,Female,Research Scientist,2,Marketing,Sales,Single,0
154,Male,Human Resources,1,Medical,Research & Development,Divorced,0
155,Male,Research Scientist,2,Marketing,Sales,Single,0
156,Male,Human Resources,5,Human Resources,Human Resources,Married,0
157,Female,Laboratory Technician,1,Other,Research & Development,Married,0
158,Male,Laboratory Technician,3,Medical,Research & Development,Single,0
159,Male,Healthcare Representative,1,Medical,Research & Development,Divorced,0
160,Male,Research Scientist,1,Life Sciences,Research & Development,Single,0
161,Male,Laboratory Technician,1,Technical Degree,Research & Development,Married,0
162,Male,Research Scientist,1,Life Sciences,Research & Development,Single,1
163,Male,Sales Representative,1,Medical,Research & Development,Divorced,0
164,Female,Laboratory Technician,1,Marketing,Sales,Married,1
165,Female,Human Resources,3,Medical,Research & Development,Single,0
166,Male,Research Scientist,2,Technical Degree,Research & Development,Married,0
167,Female,Laboratory Technician,1,Marketing,Sales,Married,0
168,Male,Research Scientist,1,Marketing,Sales,Married,0
169,Male,Sales Executive,1,Marketing,Sales,Single,1
170,Male,Sales Representative,1,Medical,Sales,Married,0
171,Female,Laboratory Technician,3,Medical,Research & Development,Single,0
172,Male,Research Scientist,2,Medical,Sales,Single,0
173,Male,Research Scientist,2,Medical,Research & Development,Married,0
174,Male,Sales Executive,4,Human Resources,Sales,Single,0
175,Male,Human Resources,1,Medical,Research & Development,Single,0
176,Male,Research Scientist,1,Life Sciences,Research & Development,Single,0
177,Male,Healthcare Representative,3,Technical Degree,Sales,Single,0
178,Male,Sales Representative,5,Medical,Research & Development,Single,0
179,Female,Research Scientist,1,Marketing,Research & Development,Divorced,0
180,Female,Research Scientist,3,Medical,Research & Development,Married,0
181,Male,Sales Representative,1,Medical,Sales,Single,0
182,Female,Research Scientist,1,Human Resources,Sales,Single,1
183,Male,Laboratory Technician,2,Life Sciences,Research & Development,Divorced,0
184,Male,Sales Executive,2,Marketing,Sales,Married,0
185,Male,Sales Executive,1,Medical,Sales,Divorced,0
186,Male,Research Scientist,1,Life Sciences,Research & Development,Married,0
187,Male,Manufacturing Director,1,Other,Research & Development,Single,0
188,Female,Laboratory Technician,1,Life Sciences,Research & Development,Single,0
189,Female,Human Resources,2,Human Resources,Research & Development,Married,0
190,Male,Sales Executive,3,Technical Degree,Sales,Single,0
191,Male,Healthcare Representative,1,Human Resources,Research & Development,Single,1
192,Male,Laboratory Technician,1,Life Sciences,Human Resources,Divorced,0
193,Male,Sales Executive,1,Life Sciences,Research & Development,Single,0
194,Female,Research Scientist,1,Human Resources,Sales,Single,0
195,Male,Human Resources,1,Life Sciences,Sales,Married,0
196,Male,Sales Executive,1,Technical Degree,Sales,Single,0
197,Male,Human Resources,2,Life Sciences,Sales,Married,0
198,Male,Sales Executive,2,Life Sciences,Sales,Single,0
199,Male,Sales Representative,2,Marketing,Research & Development,Married,0
200,Female,Laboratory Technician,1,Marketing,Sales,Single,0
201,Male,Manufacturing Director,2,Life Sciences,Research & Development,Single,0
202,Male,Sales Representative,1,Life Sciences,Research & Development,Single,0
203,Male,Healthcare Representative,1,Life Sciences,Sales,Single,0
204,Male,Sales Representative,1,Life Sciences,Research & Development,Single,0
205,Male,Sales Representative,1,Marketing,Sales,Single,0
206,Female,Research Scientist,4,Life Sciences,Sales,Single,0
207,Male,Sales Executive,1,Life Sciences,Sales,Single,0
208,Male,Manufacturing Director,1,Human Resources,Sales,Single,1
209,Male,Human Resources,1,Technical Degree,Research & Development,Single,0
210,Female,Research Scientist,1,Medical,Research & Development,Divorced,0
211,Male,Laboratory Technician,1,Life Sciences,Research & Development,Married,0
212,Male,Laboratory Technician,1,Medical,Sales,Single,0
213,Female,Research Scientist,2,Human Resources,Research & Development,Single,0
214,Male,Human Resources,1,Medical,Sales,Single,0
215,Male,Laboratory Technician,2,Marketing,Sales,Single,0
216,Female,Sales Representative,2,Medical,Research & Development,Single,0
217,Female,Sales Executive,1,Medical,Research & Development,Divorced,0
218,Female,Research Scientist,1,Human Resources,Research & Development,Divorced,1
219,Male,Sales Executive,1,Life Sciences,Sales,Married,0
220,Female,Laboratory Technician,3,Marketing,Sales,Single,1
221,Male,Sales Executive,2,Technical Degree,Sales,Married,0
222,Female,Human Resources,1,Life Sciences,Sales,Single,0
223,Male,Research Scientist,2,Human Resources,Research & Development,Single,0
224,Male,Laboratory Technician,2,Medical,Research & Development,Married,0
225,Male,Human Resources,1,Marketing,Sales,Married,0
226,Male,Manufacturing Director,2,Life Sciences,Research & Development,Married,1
227,Male,Sales Representative,1,Life Sciences,Research & Development,Married,0
228,Female,Human Resources,5,Medical,Research & Development,Single,0
229,Female,Research Scientist,1,Life Sciences,Research & Development,Married,0
230,Male,Manufacturing Director,1,Medical,Sales,Single,1
231,Female,Laboratory Technician,1,Human Resources,Sales,Single,0
232,Female,Research Scientist,1,Human Resources,Sales,Single,0
233,Female,Laboratory Technician,4,Marketing,Sales,Married,0
234,Male,Healthcare Representative,2,Life Sciences,Research & Development,Married,1
235,Female,Manufacturing Director,1,Life Sciences,Human Resources,Single,0
236,Female,Sales Executive,2,Human Resources,Research & Development,Divorced,0
237,Male,Laboratory Technician,1,Medical,Research & Development,Single,0
238,Male,Research Scientist,1,Life Sciences,Research & Development,Divorced,0
239,Male,Human Resources,2,Other,Human Resources,Divorced,0
240,Female,Healthcare Representative,1,Life Sciences,Human Resources,Single,0
241,Male,Sales Executive,1,Other,Research & Development,Married,0
242,Male,Laboratory Technician,1,Life Sciences,Research & Development,Single,0
243,Female,Sales Representative,4,Marketing,Research & Development,Single,0
244,Female,Sales Executive,1,Life Sciences,Research & Development,Married,0
245,Male,Laboratory Technician,1,Life Sciences,Research & Development,Single,0
246,Male,Sales Executive,3,Life Sciences,Human Resources,Divorced,0
247,Female,Manufacturing Director,5,Life Sciences,Research & Development,Married,0
248,Female,Research Scientist,1,Life Sciences,Research & Development,Single,0
249,Female,Human Resources,5,Human Resources,Research & Development,Married,0
250,Male,Laboratory Technician,1,Life Sciences,Sales,Married,0
251,Male,Sales Representative,5,Medical,Human Resources,Single,0
252,Female,Research Scientist,4,Medical,Research & Development,Married,0
253,Male,Laboratory Technician,1,Life Sciences,Sales,Married,1
254,Female,Human Resources,2,Life Sciences,Research & Development,Married,0
255,Male,Laboratory Technician,1,Medical,Sales,Single,0
256,Male,Sales Representative,2,Life Sciences,Sales,Divorced,0
257,Female,Research Scientist,2,Human Resources,Research & Development,Single,0
258,Male,Human Resources,2,Medical,Research & Development,Married,0
259,Female,Research Scientist,1,Medical,Research & Development,Single,0
260,Female,Laboratory Technician,1,Medical,Research & Development,Single,1
261,Male,Healthcare Representative,2,Technical Degree,Research & Development,Single,0
262,Female,Healthcare Representative,1,Life Sciences,Sales,Married,0
263,Female,Laboratory Technician,4,Medical,Research & Development,Divorced,0
264,Male,Sales Representative,1,Human Resources,Research & Development,Divorced,1
265,Male,Sales Executive,2,Technical Degree,Sales,Married,0
266,Male,Laboratory Technician,1,Life Sciences,Sales,Divorced,0
267,Male,Laboratory Technician,3,Life Sciences,Research & Development,Single,0
268,Male,Healthcare Representative,1,Medical,Sales,Single,1
269,Male,Healthcare Representative,1,Life Sciences,Sales,Married,0
270,Male,Laboratory Technician,1,Technical Degree,Human Resources,Single,0
271,Male,Human Resources,4,Medical,Sales,Single,0
272,Female,Laboratory Technician,1,Marketing,Sales,Single,0
273,Female,Laboratory Technician,1,Marketing,Human Resources,Divorced,0
274,Female,Sales Executive,1,Life Sciences,Sales,Married,1
275,Male,Research Scientist,3,Life Sciences,Research & Development,Single,0
276,Male,Laboratory Technician,3,Medical,Research & Development,Single,0
277,Female,Human Resources,5,Medical,Research & Development,Single,0
278,Male,Sales Representative,1,Medical,Sales,Married,0
279,Male,Research Scientist,2,Life Sciences,Research & Development,Married,0
280,Male,Laboratory Technician,1,Life Sciences,Human Resources,Single,0
281,Female,Sales Executive,1,Other,Research & Development,Married,0
282,Female,Sales Executive,2,Medical,Sales,Single,0
283,Female,Healthcare Representative,1,Marketing,Research & Development,Divorced,0
284,Female,Laboratory Technician,2,Technical Degree,Sales,Divorced,0
285,Male,Sales Executive,1,Human Resources,Sales,Single,0
286,Male,Laboratory Technician,2,Life Sciences,Research & Development,Single,0
287,Male,Human Resources,1,Human Resources,Sales,Married,0
288,Male,Manufacturing Director,1,Technical Degree,Sales,Single,0
289,Male,Laboratory Technician,1,Life Sciences,Sales,Married,1
290,Male,Manufacturing Director,1,Marketing,Research & Development,Married,0
291,Female,Human Resources,2,Life Sciences,Research & Development,Divorced,0
292,Female,Laboratory Technician,2,Other,Research & Development,Divorced,0
293,Male,Sales Representative,1,Life Sciences,Research & Development,Single,1
294,Male,Laboratory Technician,1,Medical,Research & Development,Single,0
295,Male,Laboratory Technician,1,Life Sciences,Research & Development,Single,0
296,Male,Laboratory Technician,4,Life Sciences,Sales,Single,0
297,Male,Sales Executive,1,Medical,Research & Development,Married,0
298,Male,Healthcare Representative,2,Medical,Sales,Married,0
299,Male,Research Scientist,2,Life Sciences,Research & Development,Divorced,0
300,Male,Sales Executive,1,Other,Research & Development,Divorced,0
301,Male,Healthcare Representative,3,Marketing,Sales,Married,0
302,Male,Human Resources,1,Marketing,Research & Development,Single,0
303,Male,Laboratory Technician,2,Marketing,Research & Development,Single,0
304,Female,Sales Representative,1,Marketing,Research & Development,Married,0
305,Male,Laboratory Technician,2,Life Sciences,Sales,Married,0
306,Female,Laboratory Technician,1,Other,Sales,Divorced,0
307,Male,Laboratory Technician,1,Life Sciences,Research & Development,Single,0
308,Male,Laboratory Technician,5,Marketing,Sales,Single,0
309,Male,Sales Representative,2,Marketing,Human Resources,Single,0
310,Male,Research Scientist,4,Life Sciences,Research & Development,Married,0
311,Female,Human Resources,1,Medical,Sales,Married,0
312,Female,Healthcare Representative,2,Medical,Human Resources,Married,0
313,Male,Human Resources,3,Medical,Research & Development,Single,0
314,Male,Manufacturing Director,1,Life Sciences,Research & Development,Divorced,0
315,Female,Manufacturing Director,2,Marketing,Research & Development,Married,1
316,Female,Human Resources,1,Life Sciences,Research & Development,Single,0
317,Female,Sales Executive,1,Other,Research & Development,Single,0
318,Female,Research Scientist,1,Life Sciences,Research & Development,Single,0
319,Male,Sales Representative,2,Life Sciences,Research & Development,Single,0
320,Male,Laboratory Technician,1,Marketing,Sales,Single,0
321,Male,Research Scientist,1,Marketing,Sales,Married,0
322,Male,Human Resources,1,Marketing,Research & Development,Single,0
323,Male,Manufacturing Director,1,Marketing,Research & Development,Single,0
324,Female,Healthcare Representative,1,Human Resources,Research & Development,Single,0
325,Male,Laboratory Technician,1,Marketing,Sales,Divorced,0
326,Male,Research Scientist,1,Marketing,Sales,Married,0
327,Male,Laboratory Technician,1,Technical Degree,Sales,Married,0
328,Male,Manufacturing Director,1,Life Sciences,Research & Development,Single,0
329,Female,Healthcare Representative,1,Life Sciences,Sales,Single,1
330,Female,Sales Representative,1,Other,Research & Development,Divorced,0
331,Female,Laboratory Technician,4,Medical,Research & Development,Divorced,0
332,Female,Sales Representative,2,Marketing,Sales,Married,0
333,Female,Manufacturing Director,1,Life Sciences,Research & Development,Divorced,0
334,Male,Research Scientist,2,Life Sciences,Research & Development,Married,0
335,Male,Research Scientist,1,Technical Degree,Research & Development,Single,0
336,Female,Laboratory Technician,2,Medical,Sales,Married,0
337,Male,Healthcare Representative,1,Human Resources,Sales,Married,0
338,Male,Research Scientist,1,Medical,Research & Development,Married,0
339,Male,Human Resources,1,Medical,Research & Development,Single,0
340,Male,Human Resources,1,Life Sciences,Sales,Married,1
341,Male,Sales Representative,2,Marketing,Research & Development,Married,0
342,Male,Human Resources,1,Technical Degree,Research & Development,Married,1
343,Male,Sales Executive,4,Technical Degree,Research & Development,Married,0
344,Female,Manufacturing Director,1,Technical Degree,Sales,Single,1
345,Male,Research Scientist,1,Technical Degree,Research & Development,Married,1
346,Male,Sales Executive,1,Life Sciences,Human Resources,Married,0
347,Male,Research Scientist,1,Human Resources,Sales,Single,0
348,Female,Healthcare Representative,1,Medical,Research & Development,Married,0
349,Female,Laboratory Technician,1,Medical,Research & Development,Single,0
350,Female,Laboratory Technician,1,Life Sciences,Research & Development,Single,0
351,Male,Manufacturing Director,3,Medical,Sales,Divorced,0
352,Female,Sales Executive,3,Life Sciences,Sales,Divorced,0
353,Female,Sales Executive,1,Technical Degree,Human Resources,Single,0
354,Male,Sales Representative,2,Life Sciences,Research & Development,Single,0
355,Male,Manufacturing Director,1,Medical,Research & Development,Single,0
356,Male,Sales Executive,1,Other,Research & Development,Divorced,1
357,Male,Laboratory Technician,5,Life Sciences,Sales,Married,0
358,Female,Sales Executive,4,Human Resources,Sales,Single,0
359,Female,Manufacturing Director,1,Technical Degree,Research & Development,Married,0
360,Male,Laboratory Technician,1,Medical,Sales,Married,0
361,Male,Laboratory Technician,1,Medical,Sales,Single,0
362,Male,Sales Executive,1,Medical,Research & Development,Divorced,0
363,Male,Human Resources,2,Life Sciences,Human Resources,Single,0
364,Male,Sales Executive,1,Marketing,Research & Development,Married,0
365,Female,Sales Executive,3,Medical,Research & Development,Single,0
366,Male,Research Scientist,1,Human Resources,Sales,Single,0
367,Male,Sales Executive,1,Technical Degree,Research & Development,Married,0
368,Female,Sales Representative,2,Marketing,Research & Development,Married,1
369,Female,Research Scientist,1,Life Sciences,Sales,Married,0
370,Male,Research Scientist,5,Medical,Research & Development,Single,0
371,Female,Laboratory Technician,2,Marketing,Research & Development,Married,0
372,Male,Sales Representative,1,Medical,Sales,Single,0
373,Male,Laboratory Technician,1,Human Resources,Research & Development,Divorced,0
374,Female,Sales Executive,1,Human Resources,Research & Development,Single,0
375,Female,Human Resources,1,Marketing,Sales,Married,0
376,Male,Healthcare Representative,1,Life Sciences,Human Resources,Divorced,0
377,Female,Manufacturing Director,1,Medical,Sales,Single,0
378,Male,Research Scientist,1,Life Sciences,Research & Development,Divorced,0
379,Female,Human Resources,1,Marketing,Human Resources,Single,0
380,Male,Sales Executive,1,Technical Degree,Sales,Single,0
381,Male,Sales Executive,5,Human Resources,Sales,Divorced,0
382,Female,Sales Executive,3,Other,Sales,Married,0
383,Female,Laboratory Technician,1,Technical Degree,Sales,Single,0
384,Female,Human Resources,1,Marketing,Research & Development,Single,0
385,Male,Laboratory Technician,1,Medical,Research & Development,Single,1
386,Male,Healthcare Representative,2,Life Sciences,Sales,Married,0
387,Male,Sales Executive,1,Other,Research & Development,Single,0
388,Male,Laboratory Technician,2,Marketing,Research & Development,Married,0
389,Female,Sales Representative,2,Marketing,Research & Development,Single,0
390,Female,Laboratory Technician,3,Life Sciences,Research & Development,Single,0
391,Male,Healthcare Representative,1,Technical Degree,Sales,Married,0
392,Female,Manufacturing Director,2,Marketing,Sales,Divorced,0
393,Female,Research Scientist,1,Marketing,Research & Development,Married,0
394,Male,Laboratory Technician,1,Technical Degree,Research & Development,Single,0
395,Male,Sales Representative,1,Life Sciences,Research & Development,Married,0
396,Female,Research Scientist,2,Life Sciences,Research & Development,Single,0
397,Female,Laboratory Technician,3,Life Sciences,Research & Development,Married,1
398,Female,Healthcare Representative,1,Marketing,Research & Development,Married,0
399,Female,Research Scientist,1,Medical,Research & Development,Married,0
400,Female,Laboratory Technician,3,Medical,Research & Development,Divorced,0
401,Female,Research Scientist,2,Medical,Sales,Single,1
402,Male,Research Scientist,1,Other,Sales,Single,0
403,Male,Sales Representative,3,Life Sciences,Research & Development,Single,1
404,Female,Laboratory Technician,2,Marketing,Sales,Married,0
405,Female,Laboratory Technician,1,Human Resources,Research & Development,Married,0
406,Female,Sales Executive,1,Life Sciences,Research & Development,Single,0
407,Male,Healthcare Representative,1,Marketing,Research & Development,Single,0
408,Male,Healthcare Representative,1,Life Sciences,Research & Development,Married,1
409,Female,Manufacturing Director,1,Life Sciences,Sales,Single,0
410,Male,Human Resources,1,Technical Degree,Research & Development,Married,0
411,Male,Healthcare Representative,1,Medical,Research & Development,Single,0
412,Female,Sales Executive,1,Technical Degree,Research & Development,Single,0
413,Female,Human Resources,1,Life Sciences,Research & Development,Single,0
414,Female,Manufacturing Director,1,Marketing,Sales,Divorced,0
415,Male,Sales Executive,2,Life Sciences,Research & Development,Married,0
416,Female,Sales Executive,1,Other,Sales,Single,0
417,Male,Manufacturing Director,1,Life Sciences,Sales,Married,0
418,Male,Sales Executive,1,Other,Sales,Single,1
419,Male,Sales Representative,2,Marketing,Sales,Single,1
420,Male,Research Scientist,1,Medical,Research & Development,Divorced,0
421,Male,Sales Executive,3,Medical,Human Resources,Married,0
422,Female,Sales Executive,1,Medical,Sales,Single,0
423,Female,Human Resources,3,Life Sciences,Research & Development,Single,1
424,Male,Research Scientist,1,Life Sciences,Research & Development,Divorced,0
425,Male,Sales Representative,1,Marketing,Research & Development,Married,0
426,Male,Laboratory Technician,1,Life Sciences,Sales,Married,0
427,Male,Sales Executive,4,Technical Degree,Sales,Single,0
428,Male,Laboratory Technician,1,Human Resources,Sales,Single,0
429,Female,Sales Representative,1,Other,Human Resources,Single,0
430,Male,Laboratory Technician,1,Technical Degree,Sales,Married,0
431,Male,Sales Executive,1,Medical,Research & Development,Single,1
432,Female,Laboratory Technician,1,Life Sciences,Sales,Single,0
433,Male,Research Scientist,1,Life Sciences,Research & Development,Married,1
434,Female,Sales Representative,1,Medical,Sales,Single,0
435,Male,Research Scientist,2,Medical,Research & Development,Single,0
436,Male,Sales Representative,1,Medical,Research & Development,Single,0
437,Male,Laboratory Technician,4,Life Sciences,Sales,Married,0
438,Male,Sales Representative,1,Technical Degree,Research & Development,Married,0
439,Female,Research Scientist,1,Technical Degree,Research & Development,Married,0
440,Male,Laboratory Technician,2,Life Sciences,Human Resources,Married,0
441,Male,Laboratory Technician,2,Medical,Sales,Married,0
442,Female,Laboratory Technician,1,Medical,Sales,Married,0
443,Male,Sales Executive,4,Life Sciences,Sales,Single,1
444,Male,Manufacturing Director,3,Other,Research & Development,Single,0
445,Male,Research Scientist,2,Life Sciences,Sales,Married,0
446,Male,Laboratory Technician,2,Technical Degree,Research & Development,Single,0
447,Male,Sales Representative,1,Technical Degree,Research & Development,Married,0
448,Male,Sales Representative,2,Medical,Sales,Single,0
449,Male,Sales Executive,1,Human Resources,Research & Development,Married,0
450,Female,Research Scientist,5,Medical,Research & Development,Single,0
451,Male,Healthcare Representative,1,Life Sciences,Research & Development,Married,0
452,Male,Human Resources,1,Medical,Sales,Married,0
